image_path,indoor_score,room_score,core_count,secondary_count,outdoor_count,detected_objects,has_semantic_interior
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_44.webp,0.5729,0.6697,3,0,0,"couch,couch,chair,remote,tv",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_45.webp,0.5029,0.1509,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_46.webp,0.466,0.1258,0,1,0,person,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_47.webp,0.5497,0.4923,1,0,0,"chair,chair",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_48.webp,0.4722,0.1417,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_49.webp,0.6522,0.1957,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_5.webp,0.4867,0.525,2,0,0,"chair,chair,chair,chair,dining table,dining table",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_50.webp,0.6494,0.0682,0,0,1,boat,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_51.webp,0.5533,0.655,3,2,0,"couch,chair,chair,tv,chair,book,couch,tv,chair,laptop",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_52.webp,0.6081,0.6161,2,0,0,"couch,bed",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_53.webp,0.4108,0.1232,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_54.webp,0.5717,0.6788,4,0,0,"refrigerator,couch,chair,chair,chair,dining table,chair",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_55.webp,0.4961,0.6221,4,1,0,"couch,chair,chair,chair,potted plant,couch,tv,dining table,tv,potted plant",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_56.webp,0.4815,0.4411,1,0,0,bed,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_57.webp,0.6715,0.7536,6,1,0,"couch,couch,person,chair,dining table,oven,dining table,microwave,refrigerator,chair",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_58.webp,0.6478,0.1749,0,1,0,"bowl,vase",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_59.webp,0.5237,0.1571,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_6.webp,0.6134,0.62,2,0,0,"chair,chair,dining table,chair,chair",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_60.webp,0.6027,0.1808,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_61.webp,0.5586,0.1676,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_62.webp,0.6337,0.0665,0,0,1,"car,car,car,car,car",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_63.webp,0.5088,0.4616,1,0,0,chair,1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_64.webp,0.5427,0.567,2,0,0,"couch,tv",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_65.webp,0.4407,0.4105,1,0,0,"couch,couch,remote",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_66.webp,0.5769,0.0545,0,1,1,"car,car,car,person,person,person,person,person,person,person,person",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_67.webp,0.5882,0.6811,3,0,0,"chair,bottle,dining table,dining table,oven,chair",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_68.webp,0.5437,0.1631,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_69.webp,0.6945,0.2084,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_7.webp,0.6834,0.6726,2,0,0,"dining table,chair",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_70.webp,0.5479,0.1644,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_71.webp,0.6493,0.0614,0,1,1,"car,potted plant,car",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_72.webp,0.4761,0.1428,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_73.webp,0.6555,0.0688,0,0,1,truck,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_74.webp,0.6118,0.6189,2,0,0,"chair,couch",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_75.webp,0.5472,0.6504,3,0,0,"couch,chair,chair,refrigerator",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_76.webp,0.5493,0.572,2,2,0,"couch,chair,couch,remote,clock,person,chair,chair",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_77.webp,0.5529,0.0581,0,0,1,"car,car,car,car,car",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_78.webp,0.4438,0.1331,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_79.webp,0.7126,0.1684,0,1,1,"car,car,potted plant",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_8.webp,0.5898,0.1769,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_80.webp,0.394,0.1182,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_81.webp,0.6138,0.7104,4,2,0,"potted plant,microwave,oven,sink,refrigerator,bowl,vase,bottle",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_82.webp,0.5428,0.5671,2,0,0,"chair,chair,couch,chair,couch",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_83.webp,0.6143,0.0581,0,1,1,"car,car,person,car",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_84.webp,0.5208,0.5506,2,0,0,"couch,chair,chair",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_85.webp,0.5516,0.4937,1,0,0,refrigerator,1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_86.webp,0.6446,0.5634,1,1,0,"chair,chair,laptop",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_87.webp,0.5206,0.5504,2,0,0,"chair,chair,dining table,chair,chair,chair,bottle",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_88.webp,0.5888,0.1766,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_89.webp,0.549,0.1647,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_9.webp,0.4894,0.1468,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_90.webp,0.6326,0.0598,0,1,1,"car,car,person,person,car,person,person,person,car,person",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_91.webp,0.4241,0.1272,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_92.webp,0.697,0.0732,0,0,2,"car,car,car,car,car,car,car,car,bus",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_93.webp,0.5123,0.0484,0,1,1,"potted plant,boat",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_94.webp,0.5966,0.6075,2,0,0,"sink,oven",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_95.webp,0.6507,0.0683,0,0,1,"boat,boat,boat",0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_96.webp,0.5271,0.1423,0,1,0,person,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_97.webp,0.5437,0.6578,4,1,0,"couch,chair,chair,tv,bottle,potted plant,dining table,potted plant,dining table,chair,bowl,chair",1
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_98.webp,0.5372,0.1612,0,0,0,,0
C:/Users/hugoagreda22/Downloads/ImageScoreAI/backend/data/images/kaggle_raw/img_99.webp,0.6143,0.0581,0,1,1,"car,car,person,car",0
